Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidadde
5;635.11;2174,2;0;0
10;630.22;2198,5;0;0
15;625.28;2223,4;0;0
20;620.28;2248,7;0;0
25;615.22;2274,6;0;0
28;612.34;2289,4;0;0
28;3,0553;1.712;0.015284;7,33E-06
30;3,0297;1.721;0.015498;7,38E-06
35;2,9730;1.741;0.015993;7,51E-06
40;2,9186;1.761;0.016496;7,64E-06
45;2,8666;1.782;0.017006;7,76E-06
50;2,8166;1.803;0.017523;7,89E-06
55;2,7686;1.824;0.018048;8,01E-06
60;2,7224;1.846;0.018580;8,14E-06
65;2,6778;1.867;0.019119;8,26E-06
70;2,6349;1.889;0.019665;8,39E-06
75;2,5935;1.910;0.020217;8,51E-06
80;2,5535;1.932;0.020776;8,63E-06
85;2,5149;1.954;0.021341;8,76E-06
90;2,4775;1.976;0.021913;8,88E-06
95;2,4412;1.998;0.022490;9,00E-06
100;2,4062;2.019;0.023074;9,13E-06
105;2,3721;2.041;0.023663;9,25E-06
110;2,3391;2.063;0.024258;9,37E-06
115;2,3071;2.085;0.024859;9,50E-06
120;2,2760;2.106;0.025465;9,62E-06
125;2,2458;2.128;0.026076;9,74E-06
130;2,2164;2.149;0.026692;9,86E-06
135;2,1878;2.171;0.027313;9,98E-06
140;2,1600;2.192;0.027939;1,01E-05
145;2,1329;2.214;0.028570;1,02E-05
150;2,1066;2.235;0.029205;1,03E-05
155;2,0809;2.256;0.029845;1,05E-05
160;2,0558;2.277;0.030489;1,06E-05
165;2,0314;2.298;0.031137;1,07E-05
170;2,0075;2.319;0.031788;1,08E-05
175;1,9843;2.340;0.032444;1,09E-05
180;1,9616;2.360;0.033104;1,11E-05
185;1,9394;2.381;0.033767;1,12E-05
190;1,9178;2.401;0.034434;1,13E-05
195;1,8966;2.422;0.035104;1,14E-05
200;1,8759;2.442;0.035777;1,15E-05
