Temperatura;Densidade;Calor especifico;Condutividade termica
5;2,64800;1.659,2;0,014648
10;2,59490;1.676,5;0,015116
15;2,54420;1.694,4;0,01559
20;2,49580;1.712,9;0,016073
25;2,44930;1.731,7;0,016564
30;2,40470;1.751,0;0,017062
35;2,36190;1.770,7;0,017568
40;2,32080;1.790,7;0,018083
45;2,28120;1.810,9;0,018605
50;2,24300;1.831,4;0,019135
55;2,20620;1.852,1;0,019673
60;2,17070;1.873,0;0,020218
65;2,13640;1.894,1;0,020772
70;2,10320;1.915,2;0,021334
75;2,07120;1.936,5;0,021903
80;2,04010;1.957,8;0,02248
85;2,01000;1.979,2;0,023066
90;1,98090;2.000,6;0,023659
95;1,95260;2.022,1;0,02426
100;1,92520;2.043,6;0,024869
105;1,89850;2.065,1;0,025486
110;1,87260;2.086,5;0,026111
115;1,84750;2.107,9;0,026744
120;1,82300;2.129,3;0,027385
125;1,79930;2.150,6;0,028034
130;1,77610;2.171,9;0,028691
135;1,75360;2.193,1;0,029356
140;1,73160;2.214,2;0,030028
145;1,71020;2.235,2;0,030709
150;1,68940;2.256,1;0,031397
155;1,66900;2.277,0;0,032094
160;1,64920;2.297,7;0,032799
165;1,62980;2.318,3;0,033511
170;1,61090;2.338,8;0,034232
175;1,59250;2.359,2;0,03496
180;1,57450;2.379,4;0,035696
185;1,55680;2.399,6;0,036441
190;1,53960;2.419,6;0,037193
195;1,52280;2.439,5;0,037953
200;1,50640;2.459,3;0,038722
