Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade ;
5;0,08827;14.222;0,17507;8,50E-06;
10;0,086712;14.246;0,17756;8,61E-06;
15;0,085207;14.267;0,18005;8,71E-06;
20;0,083755;14.287;0,18248;8,81E-06;
25;0,082351;14.306;0,18488;8,92E-06;
30;0,080993;14.323;0,18728;9,02E-06;
35;0,079679;14.339;0,18967;9,12E-06;
40;0,078407;14.353;0,19201;9,22E-06;
45;0,077176;14.367;0,19432;9,32E-06;
50;0,075982;14.379;0,19678;9,42E-06;
55;0,074825;14.391;0,19933;9,52E-06;
60;0,073702;14.401;0,20186;9,62E-06;
65;0,072613;14.411;0,20437;9,72E-06;
70;0,071555;14.419;0,20688;9,81E-06;
75;0,070528;14.427;0,20939;9,91E-06;
80;0,06953;14.435;0,21188;1,00E-05;
85;0,068559;14.441;0,21434;1,01E-05;
90;0,067616;14.448;0,21672;1,02E-05;
95;0,066698;14.453;0,21904;1,03E-05;
100;0,065804;14.458;0,22142;1,04E-05;
105;0,064935;14.463;0,22385;1,05E-05;
110;0,064088;14.467;0,22621;1,06E-05;
115;0,063262;14.471;0,22854;1,07E-05;
120;0,062458;14.475;0,23086;1,08E-05;
125;0,061674;14.478;0,23319;1,09E-05;
130;0,060909;14.481;0,23537;1,10E-05;
135;0,060164;14.483;0,23745;1,10E-05;
140;0,059436;14.486;0,23969;1,11E-05;
145;0,058725;14.488;0,24203;1,12E-05;
150;0,058032;14.490;0,24437;1,13E-05;
155;0,057354;14.492;0,24671;1,14E-05;
160;0,056692;14.494;0,24905;1,15E-05;
165;0,056046;14.496;0,25139;1,16E-05;
170;0,055414;14.497;0,25374;1,17E-05;
175;0,054796;14.499;0,25608;1,18E-05;
180;0,054191;14.500;0,25843;1,19E-05;
185;0,0536;14.502;0,26078;1,19E-05;
190;0,053022;14.503;0,26313;1,20E-05;
195;0,052455;14.504;0,26548;1,21E-05;
200;0,051901;14.506;0,26783;1,22E-05;
