Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade 
5;640,22;2229,4;0,11915;0,00026003
10;635,45;2249,8;0,11716;0,00024845
15;630,62;2270,9;0,11521;0,00023761
20;625,75;2292,7;0,11327;0,00022746
25;620,83;2315,2;0,11136;0,0002179
30;615,84;2338,4;0,10947;0,00020889
35;610,79;2362,4;0,10761;0,00020036
36,064;609,71;2367,6;0,10722;0,00019861
36,064;2,9754;1764,4;0,01529;7,20E-06
40;2,9318;1778,3;0,015651;7,30E-06
45;2,8786;1796,5;0,016117;7,41E-06
50;2,8276;1815,2;0,016591;7,53E-06
55;2,7786;1834,3;0,017073;7,65E-06
60;2,7316;1853,8;0,017562;7,77E-06
65;2,6864;1873,6;0,018059;7,88E-06
70;2,6428;1893,6;0,018563;8,00E-06
75;2,6008;1914;0,019075;8,12E-06
80;2,5603;1934,5;0,019593;8,23E-06
85;2,5211;1955,1;0,020118;8,35E-06
90;2,4833;1975,9;0,02065;8,46E-06
95;2,4466;1996,9;0,021187;8,58E-06
100;2,4112;2017,9;0,021731;8,69E-06
105;2,3768;2038,9;0,022282;8,81E-06
110;2,3435;2060;0,022837;8,92E-06
115;2,3112;2081,2;0,023399;9,03E-06
120;2,2799;2102,3;0,023966;9,15E-06
125;2,2494;2123,5;0,024538;9,26E-06
130;2,2198;2144,6;0,025115;9,37E-06
135;2,191;2165,7;0,025698;9,49E-06
140;2,163;2186,8;0,026284;9,60E-06
145;2,1357;2207,8;0,026876;9,71E-06
150;2,1092;2228,7;0,027472;9,82E-06
155;2,0834;2249,6;0,028072;9,93E-06
160;2,0582;2270,4;0,028677;1,00E-05
165;2,0336;2291,1;0,029285;1,02E-05
170;2,0097;2311,8;0,029897;1,03E-05
175;1,9863;2332,3;0,030513;1,04E-05
180;1,9635;2352,7;0,031132;1,05E-05
185;1,9412;2373;0,031755;1,06E-05
190;1,9195;2393,2;0,032381;1,07E-05
195;1,8982;2413,3;0,033011;1,08E-05
200;1,8775;2433,3;0,033643;1,09E-05
