Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade;
5;4,5555;828,59;0,0099424;9,69E-06;
10;4,4648;833,83;0,010268;9,88E-06;
15;4,3782;839,6;0,010598;1,01E-05;
20;4,2955;845,78;0,010932;1,02E-05;
25;4,2163;852,27;0,01127;1,04E-05;
30;4,1403;859,01;0,011612;1,06E-05;
35;4,0674;865,93;0,011959;1,08E-05;
40;3,9972;872,98;0,012309;1,10E-05;
45;3,9297;880,14;0,012663;1,11E-05;
50;3,8646;887,37;0,013021;1,13E-05;
55;3,8018;894,65;0,013383;1,15E-05;
60;3,7412;901,96;0,013749;1,17E-05;
65;3,6827;909,29;0,014118;1,18E-05;
70;3,626;916,61;0,01449;1,20E-05;
75;3,5712;923,92;0,014866;1,22E-05;
80;3,5181;931,21;0,015245;1,24E-05;
85;3,4667;938,48;0,015628;1,25E-05;
90;3,4168;945,71;0,016014;1,27E-05;
95;3,3684;952,9;0,016403;1,29E-05;
100;3,3214;960,05;0,016795;1,30E-05;
105;3,2758;967,14;0,01719;1,32E-05;
110;3,2314;974,19;0,017589;1,34E-05;
115;3,1883;981,18;0,01799;1,35E-05;
120;3,1464;988,12;0,018394;1,37E-05;
125;3,1056;994,99;0,018801;1,39E-05;
130;3,0659;1001,8;0,019211;1,40E-05;
135;3,0272;1008,6;0,019624;1,42E-05;
140;2,9895;1015,3;0,020039;1,44E-05;
145;2,9527;1021,9;0,020457;1,45E-05;
150;2,9169;1028,4;0,020877;1,47E-05;
155;2,882;1034,9;0,0213;1,48E-05;
160;2,8479;1041,4;0,021726;1,50E-05;
165;2,8146;1047,7;0,022154;1,52E-05;
170;2,7821;1054;0,022584;1,53E-05;
175;2,7504;1060,3;0,023017;1,55E-05;
180;2,7194;1066,4;0,023452;1,56E-05;
185;2,6891;1072,5;0,023889;1,58E-05;
190;2,6595;1078,6;0,024329;1,59E-05;
195;2,6305;1084,5;0,024771;1,61E-05;
