Temperatura;Densidade;Calor especifico;Condutividade termica;Viscosidade;;
5;1105,7;4215,6;0,5666;0,0019962;;
10;1106;4231;0,57461;0,0016791;;
15;1105,9;4239;0,58196;0,0014366;;
20;1105,4;4242,2;0,5887;0,0012467;;
25;1104,5;4242,3;0,59487;0,0010951;;
30;1103,3;4240,1;0,6005;0,00097175;;
35;1101,8;4236,4;0,60563;0,00086998;;
40;1100;4231,6;0,61028;0,00078485;;
45;1098;4226,1;0,61448;0,00071281;;
50;1095,7;4220;0,61826;0,00065121;;
55;1093,2;4213,6;0,62163;0,00059808;;
60;1090,6;4207;0,6246;0,00055187;;
65;1087,7;4200,3;0,62721;0,00051139;;
70;1084,7;4193,7;0,62945;0,00047571;;
75;1081,5;4187,2;0,63134;0,00044408;;
80;1078,2;4181;0,6329;0,00041588;;
85;1074,7;4175,2;0,63414;0,00039063;;
90;1071;4169,9;0,63506;0,00036792;;
95;1067,3;4165,1;0,63568;0,00034742;;
100;1063,4;4161,1;0,636;0,00032883;;
101,41;1062,2;4160;0,63604;0,00032389;;
101,41;0,66194;1902,8;0,024961;1,27E-05;;
105;0,65519;1895,9;0,025242;1,28E-05;;
110;0,64604;1887,6;0,02564;1,30E-05;;
115;0,63718;1880,8;0,026045;1,32E-05;;
120;0,62858;1875,2;0,026456;1,34E-05;;
125;0,62024;1870,6;0,026874;1,36E-05;;
130;0,61215;1867;0,027298;1,38E-05;;
135;0,60428;1864,2;0,027728;1,40E-05;;
140;0,59662;1862,1;0,028163;1,42E-05;;
145;0,58918;1860,6;0,028603;1,44E-05;;
150;0,58193;1859,7;0,029049;1,46E-05;;
155;0,57487;1859,2;0,029499;1,48E-05;;
160;0,568;1859,1;0,029955;1,50E-05;;
165;0,56129;1859,4;0,030415;1,52E-05;;
170;0,55475;1860;0,03088;1,54E-05;;
175;0,54837;1860,9;0,03135;1,56E-05;;
180;0,54215;1862,1;0,031825;1,58E-05;;
185;0,53607;1863,5;0,032304;1,60E-05;;
190;0,53013;1865,2;0,032788;1,62E-05;;
195;0,52432;1867;0,033276;1,64E-05;;
200;0,51865;1869;0,033768;1,66E-05;;
